ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
185	1	2	1	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
186	6788	1	1	0.000000	12.662640	12.662640	0.000000	0.000000	0	0	0
187	1	1	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
188	1	1	4	0.000000	201.000000	165.000000	0.000000	0.000000	0	0	0
189	35	1	1	0.000000	11.314286	11.314286	0.000000	0.000000	0	0	0
190	2	1	3	0.000000	39.500000	39.500000	0.000000	0.000000	0	0	0
191	21	1	1	0.000000	9.666667	9.666667	0.000000	0.000000	0	0	0
192	10319	1	1	0.000000	12.563814	12.563814	0.000000	0.000000	0	0	0
193	4	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
194	68	1	1	0.000000	10.632353	10.632353	0.000000	0.000000	0	0	0
195	10	2	2	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
196	101	1	1	0.000000	9.534653	9.534653	0.000000	0.000000	0	0	0
197	80	1	1	0.000000	12.450000	12.450000	0.000000	0.000000	0	0	0
198	73032	1	1	0.000000	12.587291	12.587291	0.000000	0.000000	0	0	0
199	12801	1	1	0.000000	12.520819	12.520819	0.000000	0.000000	0	0	0
200	1	3	2	0.000000	64.000000	64.000000	0.000000	0.000000	0	0	0
201	3	2	2	0.000000	38.000000	38.000000	0.000000	0.000000	0	0	0
202	1	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
203	2	3	2	0.000000	125.500000	125.500000	0.000000	0.000000	0	0	0
204	1	3	1	0.000000	78.000000	78.000000	0.000000	0.000000	0	0	0
205	1	2	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
206	24476	2	1	0.000000	12.552296	12.548251	0.000000	0.000000	0	0	0
207	26	1	1	0.000000	9.423077	9.423077	0.000000	0.000000	0	0	0
208	2536	1	2	0.000000	12.739748	12.739748	0.000000	0.000000	0	0	0
209	5	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
210	98	1	1	0.000000	7.816327	7.816327	0.000000	0.000000	0	0	0
211	7	2	2	0.000000	22.571429	22.571429	0.000000	0.000000	0	0	0
212	77	1	1	0.000000	12.571429	12.571429	0.000000	0.000000	0	0	0
213	859	1	1	0.000000	13.589057	13.589057	0.000000	0.000000	0	0	0
214	13	2	2	0.000000	23.615385	23.615385	0.000000	0.000000	0	0	0
215	106	1	1	0.000000	12.877358	12.877358	0.000000	0.000000	0	0	0
216	45	2	2	0.000000	25.155556	25.155556	0.000000	0.000000	0	0	0
217	39312	1	1	0.000000	12.565196	12.565196	0.000000	0.000000	0	0	0
218	3	2	1	0.000000	20.333333	20.333333	0.000000	0.000000	0	0	0
