ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
42	9418	1	1	0.000000	12.680081	12.670100	0.000000	0.000000	0	326	0
43	11	1	2	0.000000	28.090909	28.090909	0.000000	0.000000	0	10	0
44	1	1	2	0.000000	39.000000	39.000000	0.000000	0.000000	0	17	0
45	55	2	2	0.000000	50.327273	50.327273	0.000000	0.000000	0	46	0
46	1767	1	1	0.000000	12.813243	12.813243	0.000000	0.000000	0	65	0
47	1	3	1	0.000000	38.000000	38.000000	0.000000	0.000000	0	9	0
48	2341	1	1	0.000000	12.297309	12.297309	0.000000	0.000000	0	84	0
49	3865	1	1	0.000000	12.535576	12.535576	0.000000	0.000000	0	135	0
50	133	1	2	0.000000	137.917293	137.917293	0.000000	0.000000	0	121	0
51	644	2	2	0.000000	150.108696	141.054348	0.000000	0.000000	0	402	0
52	112	1	1	0.000000	140.875000	140.875000	0.000000	0.000000	0	120	0
53	5	2	2	0.000000	145.600000	145.600000	0.000000	0.000000	0	61	0
54	254	4	1	0.000000	140.803150	139.035433	0.000000	0.000000	0	193	0
55	1616	1	1	0.000000	12.240718	12.240718	0.000000	0.000000	0	59	0
56	1	1	3	0.000000	42.000000	42.000000	0.000000	0.000000	0	18	0
57	676	2	3	0.000000	88.223373	88.223373	0.000000	0.000000	0	337	0
58	625	3	1	0.000000	76.049600	76.049600	0.000000	0.000000	0	244	0
59	31502	1	1	0.000000	12.540696	12.540696	0.000000	0.000000	0	1093	0
60	3	1	2	0.000000	31.666667	31.666667	0.000000	0.000000	0	10	0
61	17	1	3	0.000000	125.705882	125.705882	0.000000	0.000000	0	59	0
62	3	2	1	0.000000	105.333333	99.666667	0.000000	0.000000	0	52	0
63	2	2	1	0.000000	27.500000	27.500000	0.000000	0.000000	0	14	0
64	15544	1	1	0.000000	12.516083	12.516083	0.000000	0.000000	0	536	0
65	2	1	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	6	0
66	1	1	4	0.000000	61.000000	61.000000	0.000000	0.000000	0	18	0
67	6	3	2	0.000000	70.833333	70.833333	0.000000	0.000000	0	20	0
68	1	2	1	0.000000	37.000000	37.000000	0.000000	0.000000	0	12	0
69	11	1	1	0.000000	11.636364	11.636364	0.000000	0.000000	0	5	0
70	1	1	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	14	0
71	1	2	2	0.000000	42.000000	42.000000	0.000000	0.000000	0	19	0
72	1	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	14	0
73	32	1	1	0.000000	12.375000	12.375000	0.000000	0.000000	0	6	0
74	14810	1	1	0.000000	12.537002	12.537002	0.000000	0.000000	0	508	0
75	1	1	3	0.000000	52.000000	52.000000	0.000000	0.000000	0	27	0
76	1	4	1	0.000000	526.000000	100.000000	0.000000	0.000000	0	256	0
77	1	5	1	0.000000	535.000000	29.000000	0.000000	0.000000	0	246	0
78	20007	1	1	0.000000	12.598940	12.598940	0.000000	0.000000	0	690	0
79	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	8	0
80	327	1	1	0.000000	11.633028	11.633028	0.000000	0.000000	0	15	0
81	16394	1	1	0.000000	12.573259	12.573259	0.000000	0.000000	0	562	0
82	1225	3	2	0.000000	65.325714	65.325714	0.000000	0.000000	0	371	0
83	21049	1	1	0.000000	12.533850	12.529289	0.000000	0.000000	0	727	0
84	3	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	12	0
85	27167	1	1	0.000000	12.593588	12.593588	0.000000	0.000000	0	939	0
86	1	1	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	14	0
87	1	2	5	0.000000	160.000000	90.000000	0.000000	0.000000	0	71	0
88	4	2	1	0.000000	149.500000	102.500000	0.000000	0.000000	0	68	0
89	1	2	1	0.000000	29.000000	29.000000	0.000000	0.000000	0	8	0
